,rank,player,age,team_id,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48,year,player_url,player_img
217,16T,Todd MacCulloch,26,NJN,1.0,1.0,126,0.008,62,24.2,9.7,6.1,1.3,0.4,1.4,.531,NO DATA,.671,5.6,.179,2002,https://www.basketball-reference.com//players/m/maccuto01.html,https://www.basketball-reference.com/req/202106291/images/players/maccuto01.jpg
218,16T,Lee Nailon,26,CHH,1.0,1.0,126,0.008,79,24.2,10.8,3.7,1.2,0.7,0.2,.483,.500,.747,3.5,.087,2002,https://www.basketball-reference.com//players/n/nailole01.html,https://www.basketball-reference.com/req/202106291/images/players/nailole01.jpg
219,16T,Wesley Person,30,CLE,1.0,1.0,126,0.008,78,35.8,15.1,3.8,2.2,1.0,0.5,.495,.444,.798,6.9,.119,2002,https://www.basketball-reference.com//players/p/persowe01.html,https://www.basketball-reference.com/req/202106291/images/players/persowe01.jpg
220,16T,Jason Terry,24,ATL,1.0,1.0,126,0.008,78,38.0,19.3,3.5,5.7,1.8,0.2,.430,.387,.835,8.6,.139,2002,https://www.basketball-reference.com//players/t/terryja01.html,https://www.basketball-reference.com/req/202106291/images/players/terryja01.jpg
221,1,Gilbert Arenas,21,GSW,41.0,288.0,590,0.488,82,35.0,18.3,4.7,6.3,1.5,0.2,.431,.348,.791,6.5,.109,2003,https://www.basketball-reference.com//players/a/arenagi01.html,https://www.basketball-reference.com/req/202106291/images/players/arenagi01.jpg
222,2,Matt Harpring,26,UTA,29.0,234.0,590,0.397,78,32.8,17.6,6.6,1.7,0.9,0.2,.511,.413,.792,8.8,.166,2003,https://www.basketball-reference.com//players/h/harprma01.html,https://www.basketball-reference.com/req/202106291/images/players/harprma01.jpg
223,3,Troy Murphy,22,GSW,18.0,144.0,590,0.244,79,31.8,11.7,10.2,1.3,0.8,0.4,.451,.214,.841,6.4,.122,2003,https://www.basketball-reference.com//players/m/murphtr01.html,https://www.basketball-reference.com/req/202106291/images/players/murphtr01.jpg
224,4,Tony Parker,20,SAS,14.0,143.0,590,0.242,82,33.8,15.5,2.6,5.3,0.9,0.0,.464,.337,.755,7.7,.134,2003,https://www.basketball-reference.com//players/p/parketo01.html,https://www.basketball-reference.com/req/202106291/images/players/parketo01.jpg
225,5,Ricky Davis,23,CLE,2.0,43.0,590,0.073,79,39.6,20.6,4.9,5.5,1.6,0.5,.410,.363,.748,3.0,.046,2003,https://www.basketball-reference.com//players/d/davisri01.html,https://www.basketball-reference.com/req/202106291/images/players/davisri01.jpg
226,6,Chauncey Billups,26,DET,3.0,42.0,590,0.071,74,31.4,16.2,3.7,3.9,0.9,0.2,.421,.392,.878,9.9,.204,2003,https://www.basketball-reference.com//players/b/billuch01.html,https://www.basketball-reference.com/req/202106291/images/players/billuch01.jpg
227,7,Jason Williams,27,MEM,3.0,40.0,590,0.068,76,31.7,12.1,2.8,8.3,1.2,0.1,.388,.354,.840,4.7,.094,2003,https://www.basketball-reference.com//players/w/willija02.html,https://www.basketball-reference.com/req/202106291/images/players/willija02.jpg
228,8,Richard Jefferson,22,NJN,2.0,23.0,590,0.039,80,36.0,15.5,6.4,2.5,1.0,0.6,.501,.250,.743,9.9,.164,2003,https://www.basketball-reference.com//players/j/jefferi01.html,https://www.basketball-reference.com/req/202106291/images/players/jefferi01.jpg
229,9,Troy Hudson,26,MIN,1.0,14.0,590,0.024,79,32.9,14.2,2.3,5.7,0.8,0.1,.428,.365,.900,5.1,.094,2003,https://www.basketball-reference.com//players/h/hudsotr01.html,https://www.basketball-reference.com/req/202106291/images/players/hudsotr01.jpg
230,10,Corey Maggette,23,LAC,0.0,12.0,590,0.020,64,31.3,16.8,5.0,1.9,0.9,0.3,.444,.350,.802,5.0,.119,2003,https://www.basketball-reference.com//players/m/maggeco01.html,https://www.basketball-reference.com/req/202106291/images/players/maggeco01.jpg
231,11,Bobby Jackson,29,SAC,0.0,11.0,590,0.019,59,28.4,15.2,3.7,3.1,1.2,0.1,.464,.379,.846,5.5,.157,2003,https://www.basketball-reference.com//players/j/jacksbo01.html,https://www.basketball-reference.com/req/202106291/images/players/jacksbo01.jpg
