,rank,player,age,team_id,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48,year,player_url,player_img
329,2,LeBron James,24,CLE,4.0,148.0,595,0.249,81,37.7,28.4,7.6,7.2,1.7,1.1,.489,.344,.780,20.3,.318,2009,https://www.basketball-reference.com//players/j/jamesle01.html,https://www.basketball-reference.com/req/202106291/images/players/jamesle01.jpg
330,3,Dwyane Wade,27,MIA,3.0,90.0,595,0.151,79,38.6,30.2,5.0,7.5,2.2,1.3,.491,.317,.765,14.7,.232,2009,https://www.basketball-reference.com//players/w/wadedw01.html,https://www.basketball-reference.com/req/202106291/images/players/wadedw01.jpg
331,4,Shane Battier,30,HOU,2.0,71.0,595,0.119,60,33.9,7.3,4.8,2.3,0.8,0.9,.410,.384,.821,5.2,.123,2009,https://www.basketball-reference.com//players/b/battish01.html,https://www.basketball-reference.com/req/202106291/images/players/battish01.jpg
332,5,Metta World Peace,29,HOU,1.0,54.0,595,0.091,69,35.5,17.1,5.2,3.3,1.5,0.3,.401,.399,.748,5.5,.108,2009,https://www.basketball-reference.com//players/a/artesro01.html,https://www.basketball-reference.com/req/202106291/images/players/artesro01.jpg
333,6,Chris Paul,23,NOH,1.0,49.0,595,0.082,78,38.5,22.8,5.5,11.0,2.8,0.1,.503,.364,.868,18.3,.292,2009,https://www.basketball-reference.com//players/p/paulch01.html,https://www.basketball-reference.com/req/202106291/images/players/paulch01.jpg
334,7,Kobe Bryant,30,LAL,2.0,43.0,595,0.072,82,36.1,26.8,5.2,4.9,1.5,0.5,.467,.351,.856,12.7,.206,2009,https://www.basketball-reference.com//players/b/bryanko01.html,https://www.basketball-reference.com/req/202106291/images/players/bryanko01.jpg
335,8,Kevin Garnett,32,BOS,1.0,31.0,595,0.052,57,31.1,15.8,8.5,2.5,1.1,1.2,.531,.250,.841,7.1,.193,2009,https://www.basketball-reference.com//players/g/garneke01.html,https://www.basketball-reference.com/req/202106291/images/players/garneke01.jpg
336,9,Chris Andersen,30,DEN,0.0,10.0,595,0.017,71,20.6,6.4,6.2,0.4,0.6,2.5,.548,.200,.718,5.4,.176,2009,https://www.basketball-reference.com//players/a/anderch01.html,https://www.basketball-reference.com/req/202106291/images/players/anderch01.jpg
337,10,Rajon Rondo,22,BOS,0.0,8.0,595,0.013,80,33.0,11.9,5.2,8.2,1.9,0.1,.505,.313,.642,9.9,.179,2009,https://www.basketball-reference.com//players/r/rondora01.html,https://www.basketball-reference.com/req/202106291/images/players/rondora01.jpg
338,11,Tim Duncan,32,SAS,0.0,7.0,595,0.012,75,33.7,19.3,10.7,3.5,0.5,1.7,.504,.000,.692,10.1,.191,2009,https://www.basketball-reference.com//players/d/duncati01.html,https://www.basketball-reference.com/req/202106291/images/players/duncati01.jpg
339,12,Raja Bell,32,TOT,0.0,4.0,595,0.007,67,34.6,11.9,3.6,2.1,0.7,0.1,.437,.421,.853,3.6,.074,2009,https://www.basketball-reference.com//players/b/bellra01.html,https://www.basketball-reference.com/req/202106291/images/players/bellra01.jpg
