,rank,player,age,team_id,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48,year,player_url,player_img
118,2,Stephon Marbury,19,MIN,35.0,35.0,115,0.304,67,34.7,15.8,2.7,7.8,1.0,0.3,.408,.354,.727,3.7,.077,1997,https://www.basketball-reference.com//players/m/marbust01.html,https://www.basketball-reference.com/req/202106291/images/players/marbust01.jpg
119,3,Shareef Abdur-Rahim,20,VAN,25.0,25.0,115,0.217,80,35.0,18.7,6.9,2.2,1.0,1.0,.453,.259,.746,2.9,.049,1997,https://www.basketball-reference.com//players/a/abdursh01.html,https://www.basketball-reference.com/req/202106291/images/players/abdursh01.jpg
120,4,Antoine Walker,20,BOS,6.0,6.0,115,0.052,82,36.2,17.5,9.0,3.2,1.3,0.6,.425,.327,.631,1.7,.027,1997,https://www.basketball-reference.com//players/w/walkean02.html,https://www.basketball-reference.com/req/202106291/images/players/walkean02.jpg
121,5,Kerry Kittles,22,NJN,5.0,5.0,115,0.043,82,36.7,16.4,3.9,3.0,1.9,0.4,.426,.377,.771,6.9,.110,1997,https://www.basketball-reference.com//players/k/kittlke01.html,https://www.basketball-reference.com/req/202106291/images/players/kittlke01.jpg
122,1,Tim Duncan,21,SAS,113.0,113.0,116,0.974,82,39.1,21.1,11.9,2.7,0.7,2.5,.549,.000,.662,12.8,.192,1998,https://www.basketball-reference.com//players/d/duncati01.html,https://www.basketball-reference.com/req/202106291/images/players/duncati01.jpg
123,2,Keith Van Horn,22,NJN,3.0,3.0,116,0.026,62,37.5,19.7,6.6,1.7,1.0,0.4,.426,.308,.846,4.8,.098,1998,https://www.basketball-reference.com//players/v/vanhoke01.html,https://www.basketball-reference.com/req/202106291/images/players/vanhoke01.jpg
124,1,Vince Carter,22,TOR,113.0,113.0,118,0.958,50,35.2,18.3,5.7,3.0,1.1,1.5,.450,.288,.761,5.0,.136,1999,https://www.basketball-reference.com//players/c/cartevi01.html,https://www.basketball-reference.com/req/202106291/images/players/cartevi01.jpg
125,2,Jason Williams,23,SAC,3.0,3.0,118,0.025,50,36.1,12.8,3.1,6.0,1.9,0.0,.374,.310,.752,2.1,.055,1999,https://www.basketball-reference.com//players/w/willija02.html,https://www.basketball-reference.com/req/202106291/images/players/willija02.jpg
126,3,Paul Pierce,21,BOS,2.0,2.0,118,0.017,48,34.0,16.5,6.4,2.4,1.7,1.0,.439,.412,.713,4.9,.144,1999,https://www.basketball-reference.com//players/p/piercpa01.html,https://www.basketball-reference.com/req/202106291/images/players/piercpa01.jpg
127,1T,Elton Brand,20,CHI,58.0,58.0,121,0.479,81,37.0,20.1,10.0,1.9,0.8,1.6,.482,.000,.685,7.5,.121,2000,https://www.basketball-reference.com//players/b/brandel01.html,https://www.basketball-reference.com/req/202106291/images/players/brandel01.jpg
128,1T,Steve Francis,22,HOU,58.0,58.0,121,0.479,77,36.1,18.0,5.3,6.6,1.5,0.4,.445,.345,.786,6.4,.111,2000,https://www.basketball-reference.com//players/f/francst01.html,https://www.basketball-reference.com/req/202106291/images/players/francst01.jpg
129,3,Lamar Odom,20,LAC,3.0,3.0,121,0.025,76,36.4,16.6,7.8,4.2,1.2,1.3,.438,.360,.719,3.2,.055,2000,https://www.basketball-reference.com//players/o/odomla01.html,https://www.basketball-reference.com/req/202106291/images/players/odomla01.jpg
130,4,Andre Miller,23,CLE,2.0,2.0,121,0.017,82,25.5,11.1,3.4,5.8,1.0,0.2,.449,.204,.774,5.3,.122,2000,https://www.basketball-reference.com//players/m/millean02.html,https://www.basketball-reference.com/req/202106291/images/players/millean02.jpg
131,1,Mike Miller,20,ORL,75.0,75.0,124,0.605,82,29.1,11.9,4.0,1.7,0.6,0.2,.436,.407,.711,5.3,.106,2001,https://www.basketball-reference.com//players/m/millemi01.html,https://www.basketball-reference.com/req/202106291/images/players/millemi01.jpg
132,2,Kenyon Martin,23,NJN,36.0,36.0,124,0.290,68,33.4,12.0,7.4,1.9,1.1,1.7,.445,.091,.630,2.1,.044,2001,https://www.basketball-reference.com//players/m/martike01.html,https://www.basketball-reference.com/req/202106291/images/players/martike01.jpg
133,3,Marc Jackson,26,GSW,7.0,7.0,124,0.056,48,29.4,13.2,7.5,1.2,0.7,0.6,.467,.217,.802,2.6,.089,2001,https://www.basketball-reference.com//players/j/jacksma02.html,https://www.basketball-reference.com/req/202106291/images/players/jacksma02.jpg
134,4T,Darius Miles,19,LAC,3.0,3.0,124,0.024,81,26.3,9.4,5.9,1.2,0.6,1.5,.505,.053,.521,3.0,.068,2001,https://www.basketball-reference.com//players/m/milesda01.html,https://www.basketball-reference.com/req/202106291/images/players/milesda01.jpg
