,rank,player,age,team_id,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48,year,player_url,player_img
249,10T,Lou Williams,22,PHI,0.0,6.0,605,0.010,81,23.7,12.8,2.0,3.0,1.0,0.2,.398,.286,.790,3.4,.085,2009,https://www.basketball-reference.com//players/w/willilo02.html,https://www.basketball-reference.com/req/202106291/images/players/willilo02.jpg
250,13,Eddie House,30,BOS,0.0,5.0,605,0.008,81,18.3,8.5,1.9,1.1,0.8,0.1,.445,.444,.792,4.9,.158,2009,https://www.basketball-reference.com//players/h/houseed01.html,https://www.basketball-reference.com/req/202106291/images/players/houseed01.jpg
251,14,Kirk Hinrich,28,CHI,0.0,4.0,605,0.007,51,26.3,9.9,2.4,3.9,1.3,0.4,.437,.408,.791,2.6,.092,2009,https://www.basketball-reference.com//players/h/hinriki01.html,https://www.basketball-reference.com/req/202106291/images/players/hinriki01.jpg
252,15,Jason Kapono,27,TOR,0.0,3.0,605,0.005,80,22.9,8.2,2.0,1.3,0.3,0.0,.432,.428,.810,0.8,.021,2009,https://www.basketball-reference.com//players/k/kaponja01.html,https://www.basketball-reference.com/req/202106291/images/players/kaponja01.jpg
253,16,James Posey,32,NOH,0.0,2.0,605,0.003,75,28.5,8.9,4.8,1.1,0.8,0.3,.412,.369,.822,4.2,.095,2009,https://www.basketball-reference.com//players/p/poseyja01.html,https://www.basketball-reference.com/req/202106291/images/players/poseyja01.jpg
254,17T,Trevor Ariza,23,LAL,0.0,1.0,605,0.002,82,24.4,8.9,4.3,1.8,1.7,0.3,.460,.319,.710,6.1,.146,2009,https://www.basketball-reference.com//players/a/arizatr01.html,https://www.basketball-reference.com/req/202106291/images/players/arizatr01.jpg
255,17T,Michael Beasley,20,MIA,0.0,1.0,605,0.002,81,24.8,13.9,5.4,1.0,0.5,0.5,.472,.407,.772,3.4,.081,2009,https://www.basketball-reference.com//players/b/beaslmi01.html,https://www.basketball-reference.com/req/202106291/images/players/beaslmi01.jpg
256,17T,Paul Millsap,23,UTA,0.0,1.0,605,0.002,76,30.1,13.5,8.6,1.8,1.0,1.0,.534,.000,.699,7.7,.162,2009,https://www.basketball-reference.com//players/m/millspa01.html,https://www.basketball-reference.com/req/202106291/images/players/millspa01.jpg
257,17T,Hakim Warrick,26,MEM,0.0,1.0,605,0.002,82,24.7,11.6,5.0,0.8,0.6,0.5,.491,.217,.711,4.7,.111,2009,https://www.basketball-reference.com//players/w/warriha01.html,https://www.basketball-reference.com/req/202106291/images/players/warriha01.jpg
258,1,Jamal Crawford,29,ATL,110.0,580.0,610,0.951,79,31.1,18.0,2.5,3.0,0.8,0.2,.449,.382,.857,7.3,.143,2010,https://www.basketball-reference.com//players/c/crawfja01.html,https://www.basketball-reference.com/req/202106291/images/players/crawfja01.jpg
